path	classification	matched_lines	disposition
release/PRODUCTION_READINESS_REPORT.md	active-user-facing	9	removed or rewritten in Stage58
release/RUNTIME_MANIFEST.md	active-user-facing	12	removed or rewritten in Stage58
scripts/bench_forward_only.sh	active-build-runtime	3	removed or rewritten in Stage58
scripts/bench_fp16_matrix.sh	active-build-runtime	9	removed or rewritten in Stage58
scripts/bench_full_demo.sh	active-build-runtime	6	removed or rewritten in Stage58
scripts/build_cross.sh	active-build-runtime	2	removed or rewritten in Stage58
scripts/capture_camera_affinity.sh	active-build-runtime	2	removed or rewritten in Stage58
scripts/common.sh	active-build-runtime	59	removed or rewritten in Stage58
scripts/deploy_to_banana.sh	active-build-runtime	5	removed or rewritten in Stage58
scripts/export_ultralytics_onnx.sh	active-build-runtime	2	removed or rewritten in Stage58
scripts/fetch_models.sh	active-build-runtime	6	removed or rewritten in Stage58
scripts/fetch_or_build_fp16_models.sh	active-build-runtime	8	removed or rewritten in Stage58
scripts/fetch_rt204_runtime.sh	active-build-runtime	8	removed or rewritten in Stage58
scripts/fetch_vendor_runtime.sh	active-build-runtime	2	removed or rewritten in Stage58
scripts/quantize_xquant.sh	active-build-runtime	4	removed or rewritten in Stage58
scripts/reference/build_scripts/05-build-opencv-ncnn.sh	active-build-runtime	1	removed or rewritten in Stage58
scripts/run_camera_demo.sh	active-build-runtime	17	removed or rewritten in Stage58
scripts/run_camera_demo_fast.sh	active-build-runtime	8	removed or rewritten in Stage58
scripts/run_image_demo.sh	active-build-runtime	13	removed or rewritten in Stage58
scripts/vendor320_runtime_matrix.sh	active-build-runtime	21	removed or rewritten in Stage58
src/app/application.cpp	active-build-runtime	5	removed or rewritten in Stage58
src/app/options.cpp	active-build-runtime	7	removed or rewritten in Stage58
src/infer/yolo11_detector.cpp	active-build-runtime	27	removed or rewritten in Stage58
src/main.cpp	active-build-runtime	1	removed or rewritten in Stage58
third_party_manifest/models.lock	active-build-runtime	3	removed or rewritten in Stage58
third_party_manifest/runtime.lock	active-build-runtime	8	removed or rewritten in Stage58
tools/xslim_yolo26_gate.py	active-user-facing	6	removed or rewritten in Stage58
tools/yolo26_coco_predict.cpp	active-user-facing	2	removed or rewritten in Stage58
tools/yolo26_fp32_baseline.py	active-user-facing	6	removed or rewritten in Stage58
