reserve_id	category	mechanism	status	evidence_stage_file	current_affected_ms	mathematical_upper_bound_ms	plausible_gain_ms	confidence	exactness_risk	performance_risk	requires_reboot_kernel_assembly_model_change	warm_pure_model_impact	pipeline_cold_start_only_impact	why_not_selected	next_proof_required
R11	LUT2	factorized six pure-Add tables	rejected	Stage56 report family or prior cited stage	7.5	1.8	0.0	high	bounded	measured	LUT2	measured	no	Exhaustively exact but full model regressed 0.61%	Exhaustively exact but full model regressed 0.61%
R12	depthwise	x4/direct E2c4	rejected	Stage56 report family or prior cited stage	15.8	2.5	0.0	high	bounded	measured	depthwise	measured	no	Mean neutral and tails regressed	Mean neutral and tails regressed
R13	memory	THP/hugetlb/mlock/prefault	rejected	Stage56 report family or prior cited stage	142.4	3.0	0.0	high	bounded	measured	memory	measured	no	M1-M3 did not clear mean/tail gate	M1-M3 did not clear mean/tail gate
R14	system	cgroup isolation	selected	Stage56 report family or prior cited stage	149.4	2.0	0.7	high	bounded	measured	system	measured	no	Selected as O2 bundle	none
R15	system	IRQ/workqueue/service housekeeping	selected	Stage56 report family or prior cited stage	149.4	2.0	0.5	high	bounded	measured	system	measured	no	Selected as O2 bundle	none
R16	boot	nohz_full/RCU/managed IRQ/domain isolation	unsupported	Stage56 report family or prior cited stage	142.4	3.0	0.0	high	unknown	high	boot	unmeasured	no	Kernel lacks NO_HZ_FULL and vendor boot has no recovery-safe second entry	Kernel lacks NO_HZ_FULL and vendor boot has no recovery-safe second entry
R17	system	cpuidle/realtime scheduler	rejected	Stage56 report family or prior cited stage	142.4	2.0	0.0	high	bounded	measured	system	measured	no	cpuidle absent; FIFO arm regressed	cpuidle absent; FIFO arm regressed
R18	system	CPU/devfreq supported OPPs	not-applicable	Stage56 report family or prior cited stage	142.4	2.0	0.0	high	unknown	high	system	unmeasured	no	CPU already 1.6 GHz max; no devfreq devices exposed	CPU already 1.6 GHz max; no devfreq devices exposed
R19	storage	NVMe/tmpfs/eMMC	rejected	Stage56 report family or prior cited stage	142.4	1.0	0.0	high	bounded	measured	storage	measured	no	Warm differences below gate; NVMe retained	Warm differences below gate; NVMe retained
R20	pipeline	CPU5-7 double buffer	selected	Stage56 report family or prior cited stage	196.4	46.0	46.1	high	bounded	measured	pipeline	measured	yes	Throughput sidecar only; pure executor slows under contention	none
R21	compiler	LTO/per-TU LTO	rejected	Stage56 report family or prior cited stage	142.4	3.0	0.0	high	bounded	measured	compiler	measured	no	Candidate SIGILL and no validated >=2% gain	Candidate SIGILL and no validated >=2% gain
R22	compiler	broader ISA/mcpu	rejected	Stage56 report family or prior cited stage	142.4	2.0	0.0	high	bounded	measured	compiler	measured	no	Prior exact full-model arms slower	Prior exact full-model arms slower
R23	arithmetic	Q31	not-applicable	Stage56 report family or prior cited stage	142.4	4.0	0.0	high	unknown	high	arithmetic	unmeasured	no	Unauthorized and not exact to K1X_INT8_V1	Unauthorized and not exact to K1X_INT8_V1
R24	layout	NCHWc16/hybrid	theoretical	Stage56 report family or prior cited stage	142.4	12.0	4.0	low	unknown	high	layout	unmeasured	no	Requires package/layout rewrite	Requires package/layout rewrite
R25	cluster1	fine-grained offload	rejected	Stage56 report family or prior cited stage	142.4	4.0	0.0	high	bounded	measured	cluster1	measured	no	Stage51 dependency-safe matrix found no win	Stage51 dependency-safe matrix found no win
R26	kernel	PREEMPT/RT/custom kernel	theoretical	Stage56 report family or prior cited stage	142.4	3.0	1.0	low	unknown	high	kernel	unmeasured	no	No recovery-safe alternate boot path	No recovery-safe alternate boot path
R27	pipeline	hardware JPEG/video preprocess	theoretical	Stage56 report family or prior cited stage	196.4	45.8	20.0	low	unknown	high	pipeline	unmeasured	yes	Outside pure-model executor and unavailable in selected runtime	Outside pure-model executor and unavailable in selected runtime
R28	model	resolution reduction/co-design	untested	Stage56 report family or prior cited stage	142.4	90.0	40.0	low	unknown	high	model	unmeasured	no	Unauthorized in Stage56	Unauthorized in Stage56
R29	hardware	unsupported overclock/voltage	not-applicable	Stage56 report family or prior cited stage	142.4	20.0	0.0	high	unknown	high	hardware	unmeasured	no	Explicit hard non-goal	Explicit hard non-goal
